Time,0x180601fd_0_1
11-29-2022_14.59.48,19300
11-29-2022_14.59.49,18428
11-29-2022_14.59.49,18802
11-29-2022_14.59.49,19300
11-29-2022_14.59.49,19051
11-29-2022_14.59.49,18428
11-29-2022_14.59.49,18926
11-29-2022_14.59.49,19300
11-29-2022_14.59.49,18304
11-29-2022_14.59.49,18428
11-29-2022_14.59.49,19175
11-29-2022_14.59.49,18553
11-29-2022_14.59.50,18802
11-29-2022_14.59.50,19300
11-29-2022_14.59.50,18926
11-29-2022_14.59.50,18428
11-29-2022_14.59.50,18553
11-29-2022_14.59.50,19300
11-29-2022_14.59.50,18553
11-29-2022_14.59.50,18428
11-29-2022_14.59.50,19549
11-29-2022_14.59.50,18802
11-29-2022_14.59.51,18304
11-29-2022_14.59.51,18926
11-29-2022_14.59.51,19175
11-29-2022_14.59.51,18553
11-29-2022_14.59.51,18802
11-29-2022_14.59.51,19300
11-29-2022_14.59.51,18802
11-29-2022_14.59.51,18553
11-29-2022_14.59.51,19175
11-29-2022_14.59.51,19300
11-29-2022_14.59.52,18926
11-29-2022_14.59.52,19051
11-29-2022_14.59.52,19300
11-29-2022_14.59.52,18179
11-29-2022_14.59.52,18179
11-29-2022_14.59.52,18802
11-29-2022_14.59.52,18802
11-29-2022_14.59.52,18553
11-29-2022_14.59.52,18802
11-29-2022_14.59.52,19300
11-29-2022_14.59.53,18428
11-29-2022_14.59.53,18304
11-29-2022_14.59.53,19051
11-29-2022_14.59.53,18553
11-29-2022_14.59.53,18677
11-29-2022_14.59.53,19175
11-29-2022_14.59.53,19549
11-29-2022_14.59.53,18428
11-29-2022_14.59.53,18677
11-29-2022_14.59.53,19300
11-29-2022_14.59.54,18802
11-29-2022_14.59.54,18677
11-29-2022_14.59.54,19300
11-29-2022_14.59.54,19424
11-29-2022_14.59.54,18677
11-29-2022_14.59.54,18677
11-29-2022_14.59.54,19300
11-29-2022_14.59.54,18304
11-29-2022_14.59.54,18428
11-29-2022_14.59.54,19300
11-29-2022_14.59.55,19175
11-29-2022_14.59.55,18304
11-29-2022_14.59.55,18677
11-29-2022_14.59.55,19424
11-29-2022_14.59.55,18304
11-29-2022_14.59.55,18926
11-29-2022_14.59.55,19300
11-29-2022_14.59.55,18926
11-29-2022_14.59.55,18926
