Time,sous_cycle_1
11-29-2022_14.59.21,8145.929335269468
11-29-2022_14.59.21,8199.730517078022
11-29-2022_14.59.21,8145.929335269468
11-29-2022_14.59.21,8048.248239880273
11-29-2022_14.59.21,7994.8144559885795
11-29-2022_14.59.21,8340.532338651192
11-29-2022_14.59.22,7994.8144559885795
11-29-2022_14.59.22,8092.558562915383
11-29-2022_14.59.22,8243.357368193107
11-29-2022_14.59.22,8048.248239880273
11-29-2022_14.59.22,8190.049607376631
11-29-2022_14.59.22,8384.27250890246
11-29-2022_14.59.22,7950.314082025523
11-29-2022_14.59.22,8145.929335269468
11-29-2022_14.59.22,8340.532338651192
11-29-2022_14.59.23,8092.558562915383
11-29-2022_14.59.23,7950.314082025523
11-29-2022_14.59.23,8190.049607376631
11-29-2022_14.59.23,7994.8144559885795
11-29-2022_14.59.23,8243.357368193107
11-29-2022_14.59.23,8297.095030306491
11-29-2022_14.59.23,7950.314082025523
11-29-2022_14.59.23,8048.248239880273
11-29-2022_14.59.23,8243.357368193107
11-29-2022_14.59.24,8190.049607376631
11-29-2022_14.59.24,8092.558562915383
11-29-2022_14.59.24,8048.248239880273
11-29-2022_14.59.24,7896.8172865962215
11-29-2022_14.59.24,7950.314082025523
11-29-2022_14.59.24,8287.287589372323
11-29-2022_14.59.24,8190.049607376631
11-29-2022_14.59.24,8048.248239880273
11-29-2022_14.59.24,8297.095030306491
11-29-2022_14.59.25,8340.532338651192
11-29-2022_14.59.25,7842.889065397329
11-29-2022_14.59.25,8048.248239880273
11-29-2022_14.59.25,8243.357368193107
11-29-2022_14.59.25,8048.248239880273
11-29-2022_14.59.25,8190.049607376631
11-29-2022_14.59.25,8287.287589372323
11-29-2022_14.59.25,8145.929335269468
11-29-2022_14.59.26,8243.357368193107
11-29-2022_14.59.26,7896.8172865962215
11-29-2022_14.59.26,7994.8144559885795
11-29-2022_14.59.26,8340.532338651192
11-29-2022_14.59.26,8092.558562915383
11-29-2022_14.59.26,7994.8144559885795
11-29-2022_14.59.26,7994.8144559885795
11-29-2022_14.59.26,8233.613446954108
11-29-2022_14.59.26,8038.75738110683
11-29-2022_14.59.26,8102.112941383996
11-29-2022_14.59.27,8243.357368193107
11-29-2022_14.59.27,8190.049607376631
11-29-2022_14.59.27,7940.949754484856
11-29-2022_14.59.27,8287.287589372323
11-29-2022_14.59.27,7994.8144559885795
11-29-2022_14.59.27,8253.101289432107
11-29-2022_14.59.27,8340.532338651192
11-29-2022_14.59.27,8038.75738110683
11-29-2022_14.59.27,7842.889065397329
11-29-2022_14.59.28,8038.75738110683
11-29-2022_14.59.28,8190.049607376631
11-29-2022_14.59.28,7887.515970593164
11-29-2022_14.59.28,8287.287589372323
11-29-2022_14.59.28,7842.889065397329
11-29-2022_14.59.28,7940.949754484856
11-29-2022_14.59.28,8287.287589372323
11-29-2022_14.59.28,8038.75738110683
11-29-2022_14.59.28,8038.75738110683
11-29-2022_14.59.29,8287.287589372323
11-29-2022_14.59.29,8287.287589372323
11-29-2022_14.59.29,7789.392269968028
11-29-2022_14.59.29,7994.8144559885795
11-29-2022_14.59.29,8287.287589372323
11-29-2022_14.59.29,7842.889065397329
11-29-2022_14.59.29,7940.949754484856
11-29-2022_14.59.29,8243.357368193107
11-29-2022_14.59.29,8092.558562915383
11-29-2022_14.59.29,7994.8144559885795
11-29-2022_14.59.30,7994.8144559885795
11-29-2022_14.59.30,8233.613446954108
11-29-2022_14.59.30,7789.392269968028
11-29-2022_14.59.30,7887.515970593164
11-29-2022_14.59.30,8287.287589372323
11-29-2022_14.59.30,8083.00418444677
11-29-2022_14.59.30,7940.949754484856
11-29-2022_14.59.30,8092.558562915383
11-29-2022_14.59.30,8287.287589372323
11-29-2022_14.59.30,7691.0155068773365
11-29-2022_14.59.31,8092.558562915383
11-29-2022_14.59.31,8287.287589372323
11-29-2022_14.59.31,8038.75738110683
11-29-2022_14.59.31,7896.8172865962215
11-29-2022_14.59.31,8190.049607376631
11-29-2022_14.59.31,8180.36869767524
11-29-2022_14.59.31,7789.392269968028
11-29-2022_14.59.31,8243.357368193107
11-29-2022_14.59.31,8190.049607376631
11-29-2022_14.59.31,7887.515970593164
11-29-2022_14.59.32,8243.357368193107
11-29-2022_14.59.32,8136.311945263246
11-29-2022_14.59.32,8136.311945263246
11-29-2022_14.59.32,7940.949754484856
11-29-2022_14.59.32,8092.558562915383
11-29-2022_14.59.32,8287.287589372323
11-29-2022_14.59.32,7994.8144559885795
11-29-2022_14.59.32,8092.558562915383
11-29-2022_14.59.32,8287.287589372323
11-29-2022_14.59.32,7994.8144559885795
11-29-2022_14.59.33,7842.889065397329
11-29-2022_14.59.33,8190.049607376631
11-29-2022_14.59.33,8330.661886179416
11-29-2022_14.59.33,7842.889065397329
11-29-2022_14.59.33,8038.75738110683
11-29-2022_14.59.33,8287.287589372323
11-29-2022_14.59.33,8038.75738110683
11-29-2022_14.59.33,7994.8144559885795
11-29-2022_14.59.33,8287.287589372323
11-29-2022_14.59.33,8287.287589372323
11-29-2022_14.59.34,7940.949754484856
11-29-2022_14.59.34,8190.049607376631
11-29-2022_14.59.34,8243.357368193107
11-29-2022_14.59.34,7896.8172865962215
11-29-2022_14.59.34,7940.949754484856
